price,That sounds interesting! But what about the price? And I have heard a lot about Samsung's display; is Pixel's display any good?,"Absolutely, the Google Pixel has a competitive price point for the features it offers, providing excellent value for money. Regarding the display, Pixel phones come with high-quality OLED displays, ensuring vibrant colors and deep blacks, so you can enjoy sharp and immersive visuals. While Samsung's displays are indeed commendable, Google Pixel doesn't fall short in delivering a premium visual experience. Would you like to try one and see for yourself?"
storage options,"I would like to try it! But, does it have good storage options? I have a lot of photos and apps.","Absolutely! The Google Pixel offers various storage options to suit your needs. And, with the seamless integration of Google Photos, you can store your high-quality photos and videos in the cloud, which helps in optimizing the device's storage efficiently. This way, you can access your media anytime without worrying about running out of space. Does that address your concern about storage?"
battery life and charging,"Yes, that's good to know! What about the battery life and charging options?","The Google Pixel has a robust battery life to get you through the day, and it supports fast charging, allowing you to quickly top up when you're running low. Many models also offer wireless charging for added convenience. So, whether you're a heavy or light user, the Pixel is designed to keep up with your needs. Would you like to go ahead and check out the different Pixel models we have?"
appointment,"Yes, I did like that. The features sound promising, and I am eager to explore.","That's fantastic to hear!                                                                                                                                                                                                                                                                                                                                                                                 
Would you like to schedule an appointment to visit our showroom ?"
availability,"Sure, that sounds like a good idea. When are you available?","Sure,Sir. Tomorrow we have slots available at 10:00 AM, 12:30 PM, and 3:00 PM.
Please confirm me your email ID. I'll send you all the necessary details on your email ID.
Which time suits you best?"
confirmation,How about tomorrow at 2 PM?,Tomorrow 2 PM works perfectly. May I have your name and email ID to confirm the appointment?
contact details,"My name is John Smith, and my email ID is abc@gmail.com","Thank you, Mr. Smith. Is there anything else you would like to know before we meet?"
Thanks,"No, I think that covers everything for now. Thank you!","You're welcome, Mr. Smith. We look forward to seeing you on Saturday at 2 PM. Have a great day!"
Interested,"Yes, I am interested","I'd be happy to help. Do you have a specific features in mind, or are you open to suggestions?"
Interestconfirmation,"I've heard a lot about Google Pixel phones and their camera capabilities. I'm looking for a new phone, and having a great camera is a top priority for me. Can you tell me more about the Google Pixel?","Absolutely! Google Pixel phones are well-known for their outstanding camera performance. They have a reputation for capturing high-quality photos, especially in low-light conditions. The latest model, the Google Pixel 6, is no exception. It features a 50-megapixel main camera and Google's Night Sight technology, which excels in low-light photography. The result is clear and vibrant photos even in challenging lighting situations.Would you like to know more about the google pixels?"
Interest confirmation,"Yes, I was indeed looking into your new android phone. I haven't made a final decision yet, but I'm interested in getting more information.",That's great to hear! Would you like to schedule an appointment to visit our showroom? 
availability,"Sure, that sounds like a good idea. When are you available?",We have some openings this Saturday in the afternoon or next Monday morning. Which would work best for you?
timing,How about tomorrow at 2 PM?,2 PM this Saturday is perfect! I've reserved that slot for you. Please confirm me your name and other details. 
contact details,"My name is John Smith, and my email ID is john@gmail.com","Great! We'll have everything ready for you. You'll receive a confirmation text and an email shortly. 
Is there anything else you would like to know before we meet?"
Thanks,Thanks for reaching out. I'll be there on Saturday at 2 PM.,Great! We look forward to seeing you. Have a wonderful day!
